# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
2.48            	p               	3.91790200e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94571584e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.5             	p               	3.92685312e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94858776e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.52            	p               	3.95762685e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94809315e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.54            	p               	3.90978990e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94526846e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.56            	p               	4.00847595e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94557004e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.58            	p               	3.91491612e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94462352e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.6             	p               	3.98995853e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94771648e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.62            	p               	3.92587122e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94915164e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.64            	p               	3.95789589e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94578197e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.66            	p               	3.90977537e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94556081e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.68            	p               	3.93445294e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94452748e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.7             	p               	3.93187037e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94671228e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.72            	p               	3.92160172e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94915481e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.74            	p               	3.97367191e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94697036e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.76            	p               	3.90839254e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94529587e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.78            	p               	4.00405968e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94518258e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.8             	p               	3.91855232e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94541198e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.82            	p               	3.97916645e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94838541e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.84            	p               	3.91585005e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94840561e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.86            	p               	3.94399606e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94532470e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.88            	p               	3.91790596e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94561687e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.9             	p               	3.92583948e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94449854e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.92            	p               	3.95960817e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94751015e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.94            	p               	3.91743875e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94925439e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.96            	p               	4.00383300e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94600322e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
