# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
2.46            	p               	3.90390028e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94836138e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.48            	p               	3.88678073e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94418662e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.5             	p               	3.92232081e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94437214e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.52            	p               	3.99513123e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94658606e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.54            	p               	3.96053421e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94299356e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.56            	p               	3.92761510e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94853805e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.58            	p               	3.90393681e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94413089e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.6             	p               	3.89993761e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94626628e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.62            	p               	3.89831761e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94547547e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.64            	p               	3.89824406e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94244115e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.66            	p               	3.96508645e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94830408e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.68            	p               	3.97630693e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94411366e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.7             	p               	3.94028753e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94767517e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.72            	p               	3.91143229e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94461187e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.74            	p               	3.89978736e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94286197e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.76            	p               	3.90616940e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94761764e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.78            	p               	3.88752413e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94374012e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.8             	p               	3.93477987e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94836460e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.82            	p               	3.98932324e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94418490e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.84            	p               	3.95392632e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94438793e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.86            	p               	3.92108800e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94657704e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.88            	p               	3.90178188e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94298690e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.9             	p               	3.90082295e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94853794e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.92            	p               	3.89024858e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94413130e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.94            	p               	3.91044971e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94628018e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.96            	p               	3.98566342e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94546704e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.98            	p               	3.96503461e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94243970e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
3               	p               	3.93003287e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94830013e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
3.02            	p               	3.90455154e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94411222e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
3.04            	p               	3.89915604e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94768392e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
3.06            	p               	3.90467563e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94460634e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
3.08            	p               	3.89389367e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94287047e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
3.1             	p               	3.95359098e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94761018e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
3.12            	p               	3.98119199e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94373528e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
