# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1.38            	3.60880579e-02	1.80440290e-02	1.80440290e-02	-4.03887602e-01	-1.50916657e-01	-2.52970945e-01	5.10271441e-02	1.86835548e-19	1.66940803e-20	0.00000000e+00	1.66940803e-20	-1.66940803e-20
1.4             	3.61045605e-02	1.80522802e-02	1.80522802e-02	-4.03896078e-01	-1.50936569e-01	-2.52959509e-01	5.10114701e-02	1.86839469e-19	1.67017143e-20	0.00000000e+00	1.67017143e-20	-1.67017143e-20
1.42            	3.61142427e-02	1.80571214e-02	1.80571214e-02	-4.03879940e-01	-1.50956676e-01	-2.52923265e-01	5.09832944e-02	1.86832004e-19	1.67061932e-20	0.00000000e+00	1.67061932e-20	-1.67061932e-20
1.44            	3.60956050e-02	1.80478025e-02	1.80478025e-02	-4.03863724e-01	-1.50935895e-01	-2.52927829e-01	5.09959670e-02	1.86824502e-19	1.66975716e-20	0.00000000e+00	1.66975716e-20	-1.66975716e-20
1.46            	3.60813173e-02	1.80406587e-02	1.80406587e-02	-4.03825765e-01	-1.50904958e-01	-2.52920807e-01	5.10079245e-02	1.86806943e-19	1.66909622e-20	0.00000000e+00	1.66909622e-20	-1.66909622e-20
1.48            	3.60927841e-02	1.80463921e-02	1.80463921e-02	-4.03766018e-01	-1.50908482e-01	-2.52857535e-01	5.09745263e-02	1.86779304e-19	1.66962667e-20	0.00000000e+00	1.66962667e-20	-1.66962667e-20
1.5             	3.61040361e-02	1.80520180e-02	1.80520180e-02	-4.03764653e-01	-1.50929246e-01	-2.52835408e-01	5.09530810e-02	1.86778673e-19	1.67014717e-20	0.00000000e+00	1.67014717e-20	-1.67014717e-20
1.52            	3.61029436e-02	1.80514718e-02	1.80514718e-02	-4.03818009e-01	-1.50940294e-01	-2.52877714e-01	5.09687100e-02	1.86803355e-19	1.67009663e-20	0.00000000e+00	1.67009663e-20	-1.67009663e-20
1.54            	3.61111075e-02	1.80555538e-02	1.80555538e-02	-4.03837487e-01	-1.50951439e-01	-2.52886049e-01	5.09673049e-02	1.86812365e-19	1.67047429e-20	0.00000000e+00	1.67047429e-20	-1.67047429e-20
1.56            	3.61207395e-02	1.80603697e-02	1.80603697e-02	-4.03832138e-01	-1.50960328e-01	-2.52871811e-01	5.09557416e-02	1.86809891e-19	1.67091986e-20	0.00000000e+00	1.67091986e-20	-1.67091986e-20
1.58            	3.61089822e-02	1.80544911e-02	1.80544911e-02	-4.03854752e-01	-1.50949020e-01	-2.52905731e-01	5.09783553e-02	1.86820352e-19	1.67037598e-20	0.00000000e+00	1.67037598e-20	-1.67037598e-20
1.6             	3.60922498e-02	1.80461249e-02	1.80461249e-02	-4.03856021e-01	-1.50924257e-01	-2.52931764e-01	5.10037532e-02	1.86820939e-19	1.66960195e-20	0.00000000e+00	1.66960195e-20	-1.66960195e-20
1.62            	3.60989259e-02	1.80494629e-02	1.80494629e-02	-4.03801102e-01	-1.50918869e-01	-2.52882233e-01	5.09816820e-02	1.86795534e-19	1.66991078e-20	0.00000000e+00	1.66991078e-20	-1.66991078e-20
1.64            	3.61110781e-02	1.80555391e-02	1.80555391e-02	-4.03824305e-01	-1.50941191e-01	-2.52883114e-01	5.09709612e-02	1.86806267e-19	1.67047293e-20	0.00000000e+00	1.67047293e-20	-1.67047293e-20
1.66            	3.61073510e-02	1.80536755e-02	1.80536755e-02	-4.03922081e-01	-1.50958493e-01	-2.52963588e-01	5.10025473e-02	1.86851498e-19	1.67030052e-20	0.00000000e+00	1.67030052e-20	-1.67030052e-20
1.68            	3.60939564e-02	1.80469782e-02	1.80469782e-02	-4.03918583e-01	-1.50939509e-01	-2.52979074e-01	5.10197825e-02	1.86849880e-19	1.66968090e-20	0.00000000e+00	1.66968090e-20	-1.66968090e-20
1.7             	3.60929677e-02	1.80464838e-02	1.80464838e-02	-4.03780015e-01	-1.50910105e-01	-2.52869910e-01	5.09799022e-02	1.86785779e-19	1.66963516e-20	0.00000000e+00	1.66963516e-20	-1.66963516e-20
1.72            	3.60966808e-02	1.80483404e-02	1.80483404e-02	-4.03727364e-01	-1.50911131e-01	-2.52816233e-01	5.09525512e-02	1.86761423e-19	1.66980692e-20	0.00000000e+00	1.66980692e-20	-1.66980692e-20
1.74            	3.60988116e-02	1.80494058e-02	1.80494058e-02	-4.03777349e-01	-1.50927277e-01	-2.52850072e-01	5.09613978e-02	1.86784546e-19	1.66990549e-20	0.00000000e+00	1.66990549e-20	-1.66990549e-20
1.76            	3.61016674e-02	1.80508337e-02	1.80508337e-02	-4.03814517e-01	-1.50935058e-01	-2.52879459e-01	5.09722002e-02	1.86801739e-19	1.67003760e-20	0.00000000e+00	1.67003760e-20	-1.67003760e-20
1.78            	3.61148776e-02	1.80574388e-02	1.80574388e-02	-4.03792530e-01	-1.50946549e-01	-2.52845981e-01	5.09497160e-02	1.86791569e-19	1.67064869e-20	0.00000000e+00	1.67064869e-20	-1.67064869e-20
1.8             	3.61235573e-02	1.80617786e-02	1.80617786e-02	-4.03810269e-01	-1.50965073e-01	-2.52845196e-01	5.09400617e-02	1.86799774e-19	1.67105021e-20	0.00000000e+00	1.67105021e-20	-1.67105021e-20
1.82            	3.61152539e-02	1.80576270e-02	1.80576270e-02	-4.03851816e-01	-1.50961613e-01	-2.52890202e-01	5.09642947e-02	1.86818993e-19	1.67066610e-20	0.00000000e+00	1.67066610e-20	-1.67066610e-20
1.84            	3.60993695e-02	1.80496847e-02	1.80496847e-02	-4.03854272e-01	-1.50934520e-01	-2.52919753e-01	5.09926166e-02	1.86820130e-19	1.66993130e-20	0.00000000e+00	1.66993130e-20	-1.66993130e-20
1.86            	3.60991590e-02	1.80495795e-02	1.80495795e-02	-4.03798704e-01	-1.50918964e-01	-2.52879740e-01	5.09803883e-02	1.86794424e-19	1.66992156e-20	0.00000000e+00	1.66992156e-20	-1.66992156e-20
1.88            	3.61092769e-02	1.80546385e-02	1.80546385e-02	-4.03799515e-01	-1.50935455e-01	-2.52864060e-01	5.09643025e-02	1.86794800e-19	1.67038961e-20	0.00000000e+00	1.67038961e-20	-1.67038961e-20
