# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
4.885           	mag(U)          	4.45882596e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07491249e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
4.885           	rho             	1.68715661e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.61991048e+00	(6.37500000e-01 7.87500000e-01 -1.20466908e-21)	3
4.885           	p               	1.17148584e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.19998333e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
5.016           	mag(U)          	4.45210360e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07560253e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
5.016           	rho             	1.85992632e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.24903872e+00	(6.37500000e-01 7.87500000e-01 -1.20466908e-21)	3
5.016           	p               	1.23109893e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	1.19987509e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
5.1466667       	mag(U)          	4.44446795e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07611227e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
5.1466667       	rho             	2.13550349e-01	(6.62500000e-01 2.00000000e-01 -3.32488666e-19)	5	6.21875101e+00	(6.37500000e-01 7.62500000e-01 4.63526545e-18)	3
5.1466667       	p               	1.39519833e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	1.19969660e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
5.2773333       	mag(U)          	4.44132570e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07638925e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
5.2773333       	rho             	2.33010975e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.42405337e+00	(6.12500000e-01 7.62500000e-01 3.98906088e-18)	3
5.2773333       	p               	1.76989501e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.19958806e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
5.4066667       	mag(U)          	4.44190049e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07655261e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
5.4066667       	rho             	2.02861710e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.56369698e+00	(6.12500000e-01 7.62500000e-01 3.98906088e-18)	3
5.4066667       	p               	1.58089589e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.19965692e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
5.5375          	mag(U)          	4.44338009e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07679706e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
5.5375          	rho             	1.82979941e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.50534121e+00	(6.12500000e-01 7.62500000e-01 3.98906088e-18)	3
5.5375          	p               	1.44242773e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.19961147e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
5.67            	mag(U)          	4.44552234e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07698669e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
5.67            	rho             	1.86891650e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.30447616e+00	(6.12500000e-01 7.62500000e-01 3.98906088e-18)	3
5.67            	p               	1.34558139e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.19957891e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
5.80125         	mag(U)          	4.45165228e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07704714e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
5.80125         	rho             	1.85570458e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.24550278e+00	(6.12500000e-01 7.37500000e-01 -3.69873563e-18)	3
5.80125         	p               	1.25823050e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	1.19952593e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
5.932           	mag(U)          	4.45051875e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07712476e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
5.932           	rho             	2.30696795e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.24513280e+00	(6.12500000e-01 7.37500000e-01 -3.69873563e-18)	3
5.932           	p               	1.56223184e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	1.19968414e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
6.064           	mag(U)          	4.45194927e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07711662e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
6.064           	rho             	2.43163090e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.28756139e+00	(5.87500000e-01 7.37500000e-01 -1.98202196e-17)	3
6.064           	p               	1.67300140e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	1.19959461e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
6.1946667       	mag(U)          	4.45270847e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07719473e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
6.1946667       	rho             	2.17525162e-01	(7.12500000e-01 2.12500000e-01 5.31299220e-18)	5	6.36598010e+00	(5.87500000e-01 7.37500000e-01 -1.98202196e-17)	3
6.1946667       	p               	1.79939933e-01	(7.12500000e-01 2.12500000e-01 5.31299220e-18)	5	1.19953201e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
6.3253333       	mag(U)          	4.45663197e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07710346e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
6.3253333       	rho             	1.85030066e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.39513374e+00	(5.87500000e-01 7.37500000e-01 -1.98202196e-17)	3
6.3253333       	p               	1.41893188e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.19958401e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
6.45625         	mag(U)          	4.45841328e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07720111e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
6.45625         	rho             	1.99884791e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.31251680e+00	(5.87500000e-01 7.37500000e-01 -1.98202196e-17)	3
6.45625         	p               	1.63458920e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.19953850e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
